# Generated by GAMUT v1.0.1
# Grab the Dollar
# Game Parameter Values:
# Random seed:	1714224682502
# Cmd Line:	-g GrabTheDollar -actions 10 -f baked_gamut/grab_the_dollar_game.txt
# Players:	2
# Actions:	10 10
# actions:	[10]
[1  1] :	[ -67.24802795538588 -67.24802795538588 ]
[2  1] :	[ 33.16154413273247 78.64266591430979 ]
[3  1] :	[ 33.16154413273247 78.64266591430979 ]
[4  1] :	[ 33.16154413273247 78.64266591430979 ]
[5  1] :	[ 33.16154413273247 78.64266591430979 ]
[6  1] :	[ 33.16154413273247 78.64266591430979 ]
[7  1] :	[ 33.16154413273247 78.64266591430979 ]
[8  1] :	[ 33.16154413273247 78.64266591430979 ]
[9  1] :	[ 33.16154413273247 78.64266591430979 ]
[10  1] :	[ 33.16154413273247 78.64266591430979 ]
[1  2] :	[ 78.64266591430979 33.16154413273247 ]
[2  2] :	[ -67.24802795538588 -67.24802795538588 ]
[3  2] :	[ 33.16154413273247 78.64266591430979 ]
[4  2] :	[ 33.16154413273247 78.64266591430979 ]
[5  2] :	[ 33.16154413273247 78.64266591430979 ]
[6  2] :	[ 33.16154413273247 78.64266591430979 ]
[7  2] :	[ 33.16154413273247 78.64266591430979 ]
[8  2] :	[ 33.16154413273247 78.64266591430979 ]
[9  2] :	[ 33.16154413273247 78.64266591430979 ]
[10  2] :	[ 33.16154413273247 78.64266591430979 ]
[1  3] :	[ 78.64266591430979 33.16154413273247 ]
[2  3] :	[ 78.64266591430979 33.16154413273247 ]
[3  3] :	[ -67.24802795538588 -67.24802795538588 ]
[4  3] :	[ 33.16154413273247 78.64266591430979 ]
[5  3] :	[ 33.16154413273247 78.64266591430979 ]
[6  3] :	[ 33.16154413273247 78.64266591430979 ]
[7  3] :	[ 33.16154413273247 78.64266591430979 ]
[8  3] :	[ 33.16154413273247 78.64266591430979 ]
[9  3] :	[ 33.16154413273247 78.64266591430979 ]
[10  3] :	[ 33.16154413273247 78.64266591430979 ]
[1  4] :	[ 78.64266591430979 33.16154413273247 ]
[2  4] :	[ 78.64266591430979 33.16154413273247 ]
[3  4] :	[ 78.64266591430979 33.16154413273247 ]
[4  4] :	[ -67.24802795538588 -67.24802795538588 ]
[5  4] :	[ 33.16154413273247 78.64266591430979 ]
[6  4] :	[ 33.16154413273247 78.64266591430979 ]
[7  4] :	[ 33.16154413273247 78.64266591430979 ]
[8  4] :	[ 33.16154413273247 78.64266591430979 ]
[9  4] :	[ 33.16154413273247 78.64266591430979 ]
[10  4] :	[ 33.16154413273247 78.64266591430979 ]
[1  5] :	[ 78.64266591430979 33.16154413273247 ]
[2  5] :	[ 78.64266591430979 33.16154413273247 ]
[3  5] :	[ 78.64266591430979 33.16154413273247 ]
[4  5] :	[ 78.64266591430979 33.16154413273247 ]
[5  5] :	[ -67.24802795538588 -67.24802795538588 ]
[6  5] :	[ 33.16154413273247 78.64266591430979 ]
[7  5] :	[ 33.16154413273247 78.64266591430979 ]
[8  5] :	[ 33.16154413273247 78.64266591430979 ]
[9  5] :	[ 33.16154413273247 78.64266591430979 ]
[10  5] :	[ 33.16154413273247 78.64266591430979 ]
[1  6] :	[ 78.64266591430979 33.16154413273247 ]
[2  6] :	[ 78.64266591430979 33.16154413273247 ]
[3  6] :	[ 78.64266591430979 33.16154413273247 ]
[4  6] :	[ 78.64266591430979 33.16154413273247 ]
[5  6] :	[ 78.64266591430979 33.16154413273247 ]
[6  6] :	[ -67.24802795538588 -67.24802795538588 ]
[7  6] :	[ 33.16154413273247 78.64266591430979 ]
[8  6] :	[ 33.16154413273247 78.64266591430979 ]
[9  6] :	[ 33.16154413273247 78.64266591430979 ]
[10  6] :	[ 33.16154413273247 78.64266591430979 ]
[1  7] :	[ 78.64266591430979 33.16154413273247 ]
[2  7] :	[ 78.64266591430979 33.16154413273247 ]
[3  7] :	[ 78.64266591430979 33.16154413273247 ]
[4  7] :	[ 78.64266591430979 33.16154413273247 ]
[5  7] :	[ 78.64266591430979 33.16154413273247 ]
[6  7] :	[ 78.64266591430979 33.16154413273247 ]
